epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,654.397,1.77729,11.2416,0.01839,0.56384,0.60345,0.57475,0.43964,0.88333,2.53422,0.00626,0.00196,0.000653333,0.00196,0.000653333,0.00196,0.000653333,0.00196,0.000653333
2,1280.31,1.37051,1.56928,0.01344,0.73797,0.87408,0.76315,0.49104,1.35327,1.3226,0.01018,0.00356796,0.00118932,0.00356796,0.00118932,0.00356796,0.00118932,0.00356796,0.00118932
3,1902.79,1.26735,0.98431,0.01251,0.7498,0.98171,0.79478,0.51551,1.19037,0.70578,0.0091,0.00477992,0.00159331,0.00477992,0.00159331,0.00477992,0.00159331,0.00477992,0.00159331
4,2519.84,1.24237,0.82781,0.0126,0.74706,1,0.7997,0.517,1.23296,0.70129,0.00917,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
5,3141.64,1.22717,0.74325,0.01214,0.77238,0.99462,0.7795,0.51823,1.13478,0.65639,0.00841,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
6,3820.28,1.20656,0.66871,0.01198,0.79033,0.97489,0.8268,0.55253,1.11761,0.65669,0.00822,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
7,4494.86,1.17494,0.65972,0.01183,0.78343,1,0.83653,0.52854,1.23164,0.57432,0.00916,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
8,5162.61,1.15423,0.63189,0.01094,0.78153,1,0.80246,0.47935,1.44878,0.61767,0.01144,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
9,5831.25,1.13511,0.57867,0.01117,0.78268,0.99358,0.81972,0.51165,1.32902,0.59277,0.01008,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
10,6460.34,1.12564,0.56169,0.011,0.78037,0.9802,0.83299,0.56815,1.0993,0.59442,0.00833,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
